Species, E10, E20, Complete BUSCOs,Complete and single-copy BUSCOs,Complete and duplicated BUSCOs,Fragmented BUSCOs,Missing BUSCOs,Family
Eulimnogammarus_vittatus, 3,3, 57,45,12,15.8,27.2,Eulimnogammaridae  
Eulimnogammarus_ussolzewii, 2,1, 58.6,45.3,13.3,17,24.4,Eulimnogammaridae
Eulimnogammarus_violaceus, 2,1, 57.5,43.3,14.2,18.9,23.6,Eulimnogammaridae
Eulimnogammarus_cyaneus, 4,4, 64,47.6,16.4,14.1,21.9,Eulimnogammaridae
Eulimnogammarus_marituji, 3,3, 63.6,47.9,15.7,15.3,21.1,Eulimnogammaridae
Odontogammarus_calcaratus, 4,1, 62.5,46.6,15.9,16.6,20.9,Eulimnogammaridae
Eulimnogammarus_czerskii, 7,2, 65.3,49.6,15.7,15.2,19.5,Eulimnogammaridae
Eulimnogammarus_testaceus, 2,1, 67.3,48.7,18.6,13.7,19,Eulimnogammaridae
Eulimnogammarus_similis, 5,1, 66.1,50.2,15.9,15.4,18.5,Eulimnogammaridae
Eulimnogammarus_cruentus2, 3,2, 64.2,52.1,12.1,17.4,18.4,Eulimnogammaridae
Eulimnogammarus_sp2, 0,0, 68.1,50.8,17.3,13.5,18.4,Eulimnogammaridae
Eulimnogammarus_viridulus, 5,4, 66.7,50.6,16.1,15.7,17.6,Eulimnogammaridae
Ommatogammarus_flavus, 8,4, 72,55.4,16.6,11.5,16.5,Eulimnogammaridae
Eulimnogammarus_verrucosus, 3,2, 71,50.7,20.3,12.9,16.1,Eulimnogammaridae
Eulimnogammarus_cruentus, 9,4, 72.5,55.6,16.9,12,15.5,Eulimnogammaridae
Heterogammarus_sophianosii, 7,4, 73.4,57.1,16.3,11.1,15.5,Eulimnogammaridae
Macropereiopus_parvus, 5,3, 72.3,54.9,17.4,12.9,14.8,Eulimnogammaridae
Ommatogammarus_albinus, 4,1, 77.9,57.1,20.8,9.8,12.3,Eulimnogammaridae
Gammarus_lacustris, 5,3, 68,54.7,13.3,14.1,17.9,Gammaridae
Macrohectopus_branickii, 0,0, 45.3,36.1,9.2,18.4,36.3,Macrohectopidae
Crypturopus_inflatus, 0,0, 34.6,29.5,5.1,24.1,41.3,Micruropodidae
Micruropus_parvulus, 1,1, 49.7,38,11.7,26.6,23.7,Micruropodidae
Micruropus_glaber, 2,2, 64.3,51.1,13.2,15.1,20.6,Micruropodidae
Gmelinoides_fasciatus, 2,1, 67,48.6,18.4,15,18,Micruropodidae
Linevichella_vortex, 3,3, 72.7,50.4,22.3,11.1,16.2,Micruropodidae
Micruropus_wahlii, 4,0, 87.6,47.9,39.7,7.2,5.2,Micruropodidae
Pachyschesis_branchialis2, 1,1, 37.2,31.1,6.1,12.5,50.3,Pachyschesidae
Pachyschesis_branchialis, 6,1, 74,57.4,16.6,10.4,15.6,Pachyschesidae
Pallasea_cancelloides2, 2,2, 34.9,28.4,6.5,20.8,44.3,Pallaseidae
Homalogammarus_brandtii, 2,2, 46.6,39.3,7.3,15.3,38.1,Pallaseidae
Pallasea_cancelloides, 2,2, 55.3,46.2,9.1,14.3,30.4,Pallaseidae
Pallaseopsis_kessleri, 0,0, 50.7,42.9,7.8,20.3,29,Pallaseidae
Pallasea_grubei, 3,3, 60.1,48,12.1,17.6,22.3,Pallaseidae
Pallasea_cancellus, 4,4, 64.6,48.9,15.7,14.3,21.1,Pallaseidae
Pentagonurus_dawydowi, 2,1, 64.7,48.1,16.6,14.2,21.1,Pallaseidae
Pallasea_sp, 4,2, 67.8,50.8,17,13.1,19.1,Pallaseidae
Pandorites_podoceroides, 0,0, 51,43.2,7.8,20.7,28.3,Pontogammaridae  
