Species,Complete_BUSCOs,Single_BUSCOs,Duplicated_BUSCOs,Fragmented_BUSCOs,Missing_BUSCOs,Assembler
Acanthogammarus_godlewskii,	49.9,40.9,9,20.5,29.6,Trinity
Homalogammarus_brandtii,	46.6,39.3,7.3,15.3,38.1,Trinity
Hyalella_azteca,	36.9,30.5,6.4,30.8,32.3,Trinity
Hyalellopsis_carinata,	65.0,50.4,14.6,16.4,18.6,Trinity
Hyalellopsis_costata,	59.2,42.3,16.9,20.7,20.1,Trinity
Hyalellopsis_grisea,	64.4,49.2,15.2,16.3,19.3,Trinity
Hyalellopsis_setosa,	70.2,52.6,17.6,15.2,14.6,Trinity
Hyalellopsis_stebbingi,	59.8,41.3,18.5,18.1,22.1,Trinity
Linevichella_vortex,	72.7,50.4,22.3,11.1,16.2,Trinity
Macrohectopus_branickii,	45.3,36.1,9.2,18.4,36.3,Trinity
Macropereiopus_parvus,	72.3,54.9,17.4,12.9,14.8,Trinity
Macropereiopus_wagneri,	31.6,26.8,4.8,18,50.4,Trinity
Marinogammarus_marinus,	85.7,56,29.7,8.8,5.5,Trinity
Micruropus_glaber,	64.3,51.1,13.2,15.1,20.6,Trinity
Micruropus_parvulus,	49.7,38,11.7,26.6,23.7,Trinity
Micruropus_wahlii,	87.6,47.9,39.7,7.2,5.2,Trinity
Odontogammarus_calcaratus,	62.5,46.6,15.9,16.6,20.9,Trinity
Ommatogammarus_albinus,	77.9,57.1,20.8,9.8,12.3,Trinity
Ommatogammarus_flavus,	72.0,55.4,16.6,11.5,16.5,Trinity
Oxyacanthus_curtus,	54.3,45.7,8.6,21.2,24.5,Trinity
Oxyacanthus_flavus,	72.7,56.3,16.4,11.3,16,Trinity
Oxyacanthus_sowinskii,	59.2,49.4,9.8,18.6,22.2,Trinity
Pachyschesis_branchialis,	74.0,57.4,16.6,10.4,15.6,Trinity
Palicarinus_puzyllii,	70.9,54.4,16.5,12.3,16.8,Trinity
Pallasea_cancelloides,	34.9,28.4,6.5,20.8,44.3,Trinity
Pallasea_cancellus,	64.6,48.9,15.7,14.3,21.1,Trinity
Pallasea_grubei,	60.1,48,12.1,17.6,22.3,Trinity
Pallasea_sp._gam7.3,	67.8,50.8,17,13.1,19.1,Trinity
Pallaseopsis_kessleri,	50.7,42.9,7.8,20.3,29,Trinity
Pandorites_podoceroides,	51.0,43.2,7.8,20.7,28.3,Trinity
Parapallasea_borowskii,	58.8,42,16.8,17.6,23.6,Trinity
Parapallasea_wosnessenskii,	68.6,53.5,15.1,14.9,16.5,Trinity
Parhyale_hawaiensis,	91.0,81,10,5.1,3.9,Trinity
Pentagonurus_dawydowi,	64.7,48.1,16.6,14.2,21.1,Trinity
Poekilogammarus_pictoides,	65.8,50.5,15.3,16.4,17.8,Trinity
Sluginella_kietlinskii,	24.7,22.1,2.6,12.7,62.6,Trinity
Talitrus_saltator,	92.5,62.9,29.6,4.4,3.1,Trinity
